id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,status,rent,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,history,hoa_fee,agent_name,agent_phone,agent_email,agent_website,office_name,office_phone,office_email,office_website
"80-S-Main-St,-Apt-702,-Seattle,-WA-98104","80 S Main St, Apt 702, Seattle, WA 98104",80 S Main St,Apt 702,Seattle,WA,53,98104,King,033,47.600227,-122.335129,Apartment,1,1.0,644.0,,,Active,2195,Standard,2025-09-29T00:00:00.000Z,,2024-05-18T00:00:00.000Z,2025-09-29T03:32:52.467Z,1,,,"{""2025-07-08"": {""event"": ""Rental Listing"", ""price"": 2395, ""listingType"": ""Standard"", ""listedDate"": ""2025-07-08T00:00:00.000Z"", ""removedDate"": ""2025-07-09T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-08-31"": {""event"": ""Rental Listing"", ""price"": 2295, ""listingType"": ""Standard"", ""listedDate"": ""2025-08-31T00:00:00.000Z"", ""removedDate"": ""2025-09-01T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-18"": {""event"": ""Rental Listing"", ""price"": 2195, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-18T00:00:00.000Z"", ""removedDate"": ""2025-09-19T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 2195, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"504-E-Denny-Way,-Apt-101,-Seattle,-WA-98122","504 E Denny Way, Apt 101, Seattle, WA 98122",504 E Denny Way,Apt 101,Seattle,WA,53,98122,King,033,47.618664,-122.324905,Apartment,1,1.0,580.0,,,Active,1595,Standard,2025-09-29T00:00:00.000Z,,2023-12-06T00:00:00.000Z,2025-09-29T03:32:52.466Z,1,,,"{""2025-09-19"": {""event"": ""Rental Listing"", ""price"": 1595, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-19T00:00:00.000Z"", ""removedDate"": ""2025-09-20T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1595, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"80-S-Main-St,-Apt-501,-Seattle,-WA-98104","80 S Main St, Apt 501, Seattle, WA 98104",80 S Main St,Apt 501,Seattle,WA,53,98104,King,033,47.600326,-122.335204,Apartment,1,1.0,,,,Active,1895,Standard,2025-09-29T00:00:00.000Z,,2025-09-26T00:00:00.000Z,2025-09-29T03:32:52.462Z,1,,,"{""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1895, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"1615-15th-Ave,-Unit-44,-Seattle,-WA-98122","1615 15th Ave, Unit 44, Seattle, WA 98122",1615 15th Ave,Unit 44,Seattle,WA,53,98122,King,033,47.615788,-122.313141,Apartment,1,1.0,520.0,,,Active,1795,Standard,2025-09-29T00:00:00.000Z,,2024-03-06T00:00:00.000Z,2025-09-29T03:32:52.461Z,1,,,"{""2025-08-10"": {""event"": ""Rental Listing"", ""price"": 1795, ""listingType"": ""Standard"", ""listedDate"": ""2025-08-10T00:00:00.000Z"", ""removedDate"": ""2025-08-11T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-01"": {""event"": ""Rental Listing"", ""price"": 1795, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-01T00:00:00.000Z"", ""removedDate"": ""2025-09-02T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1795, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"411-Bellevue-Ave-E,-Apt-203,-Seattle,-WA-98102","411 Bellevue Ave E, Apt 203, Seattle, WA 98102",411 Bellevue Ave E,Apt 203,Seattle,WA,53,98102,King,033,47.622311,-122.326965,Apartment,1,1.0,750.0,,,Active,1895,Standard,2025-09-29T00:00:00.000Z,,2022-04-23T01:02:20.921Z,2025-09-29T03:32:52.460Z,1,,,"{""2025-09-01"": {""event"": ""Rental Listing"", ""price"": 2145, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-01T00:00:00.000Z"", ""removedDate"": ""2025-09-02T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1895, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"10503-23rd-Ave-Ne-Unit-B,-Seattle,-WA-98125","10503 23rd Ave Ne Unit B, Seattle, WA 98125",10503 23rd Ave Ne Unit B,,Seattle,WA,53,98125,King,033,47.705025,-122.304657,Apartment,1,1.0,,,,Active,1850,Standard,2025-09-29T00:00:00.000Z,,2025-09-28T00:00:00.000Z,2025-09-29T03:32:52.452Z,1,,,"{""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1850, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"14023-32nd-Ave-NE,-Apt-504,-Seattle,-WA-98125","14023 32nd Ave NE, Apt 504, Seattle, WA 98125",14023 32nd Ave NE,Apt 504,Seattle,WA,53,98125,King,033,47.730804,-122.294228,Apartment,1,1.0,575.0,,,Active,1525,Standard,2025-09-29T00:00:00.000Z,,2023-12-19T00:00:00.000Z,2025-09-29T03:32:52.451Z,1,,,"{""2025-09-18"": {""event"": ""Rental Listing"", ""price"": 1525, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-18T00:00:00.000Z"", ""removedDate"": ""2025-09-19T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1525, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"1727-14th-Ave,-Apt-14,-Seattle,-WA-98122","1727 14th Ave, Apt 14, Seattle, WA 98122",1727 14th Ave,Apt 14,Seattle,WA,53,98122,King,033,47.61721,-122.314606,Apartment,1,1.0,600.0,,,Active,1695,Standard,2025-09-29T00:00:00.000Z,,2025-08-06T00:00:00.000Z,2025-09-29T03:32:52.451Z,1,,,"{""2025-09-18"": {""event"": ""Rental Listing"", ""price"": 1695, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-18T00:00:00.000Z"", ""removedDate"": ""2025-09-19T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1695, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"3150-Fairview-Ave-E,-Apt-105,-Seattle,-WA-98102","3150 Fairview Ave E, Apt 105, Seattle, WA 98102",3150 Fairview Ave E,Apt 105,Seattle,WA,53,98102,King,033,47.650066,-122.323387,Apartment,1,1.0,650.0,,,Active,2495,Standard,2025-09-29T00:00:00.000Z,,2025-01-17T00:00:00.000Z,2025-09-29T03:32:52.450Z,1,,,"{""2025-01-24"": {""event"": ""Rental Listing"", ""price"": 2199, ""listingType"": ""Standard"", ""listedDate"": ""2025-01-24T00:00:00.000Z"", ""removedDate"": ""2025-01-25T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-03-23"": {""event"": ""Rental Listing"", ""price"": 2495, ""listingType"": ""Standard"", ""listedDate"": ""2025-03-23T00:00:00.000Z"", ""removedDate"": ""2025-03-24T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-08-15"": {""event"": ""Rental Listing"", ""price"": 2495, ""listingType"": ""Standard"", ""listedDate"": ""2025-08-15T00:00:00.000Z"", ""removedDate"": ""2025-08-16T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-22"": {""event"": ""Rental Listing"", ""price"": 2495, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-22T00:00:00.000Z"", ""removedDate"": ""2025-09-23T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 2495, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"7516-Roosevelt-Way-NE,-Apt-5,-Seattle,-WA-98115","7516 Roosevelt Way NE, Apt 5, Seattle, WA 98115",7516 Roosevelt Way NE,Apt 5,Seattle,WA,53,98115,King,033,47.683763,-122.31718,Apartment,1,1.0,515.0,,,Active,1595,Standard,2025-09-29T00:00:00.000Z,,2023-12-02T00:00:00.000Z,2025-09-29T03:32:52.448Z,1,,,"{""2025-09-23"": {""event"": ""Rental Listing"", ""price"": 1595, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-23T00:00:00.000Z"", ""removedDate"": ""2025-09-24T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1595, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
